Mahavishnu,,SALES,,,,,,,,,,AMOUNT,RATES,,,,
,,750 ML,,375 ML,,180 ML,,90 ML,,60 ML,,,750 ML,375 ML,180 ML,90 ML,60 ML
SL.,PRODUCT NAME,CASES*12,BTLS,CASES*24,BTLS,CASES*48,BTLS,CASES*96,BTLS,BOX*25,BTLS,,RATE,RATE,RATE,RATE,RATE
BEERS,,SALES,,,,,,,,,,,RATES,,,,
,,650 ML,,500 ML TIN(CAN),,330 ML (PINT),,330 ML TIN(CAN),,,,,650 ML,500 CAN,330 PINT,330 CAN,
SL.,PRODUCT NAME,CASES*12,BTLS,CASES*24,BTLS,CASES*24,BTLS,CASES*24,BTLS,,,,RATE,RATE,RATE,RATE,
1,K.F PREMIUM,1,15,0,0,0,0,0,0,,,5940,220,160,120,130,
2,K.F STRONG,39,-10,2,-33,3,-9,1,-13,,,114440,225,160,120,130,
3,U.B EXPORT,1,1,0,0,0,0,0,0,,,2340,180,130,100,90,
4,KNOCK OUT,5,-10,0,0,1,7,0,0,,,13910,210,160,110,130,
5,K.F STROM,0,0,0,0,0,0,0,0,,,0,225,160,120,130,
6,BUDWISER MAGNUM,19,-3,0,23,0,0,0,0,,,66475,275,200,135,140,
7,BUDWISER PREM,3,-3,0,6,0,0,0,0,,,9780,260,200,135,140,
8,K.F ULTRA/ WITT BEER,0,22,0,0,0,0,0,0,,,5720,260,200,135,140,
9,TOBURG STRONG BEER,24,18,1,-13,2,-19,0,0,,,74380,225,160,130,130,
10,POWERCOOL,4,15,0,11,0,7,0,0,,,12730,170,120,100,100,
11,BACARDI +,0,0,0,0,3,-28,0,0,,,5720,205,205,130,130,
12,BACARDI BREEZER,0,0,0,0,0,26,0,0,,,4160,160,160,160,160,
13,RC / BULLET BEER,6,17,0,20,0,0,0,0,,,14860,140,120,90,90,
14,HUNTER,0,0,0,0,0,0,0,0,,,0,220,160,120,130,
15,CARLSBERG ELE STRONG,10,-14,1,-24,0,0,0,0,,,29680,280,210,140,140,
16,SUNNY STRONG,5,0,0,0,0,0,0,0,,,7800,130,120,120,120,
17,FOSTERS BEER,0,0,0,0,0,0,0,0,,,0,200,150,90,90,
18,HEINEKEN BEER,0,0,0,0,0,0,0,0,,,0,300,220,200,200,
19,TUBORG CLASSIC,0,9,0,0,0,0,0,0,,,2520,280,215,160,160,
20,,0,0,0,0,0,0,0,0,,,0,,,,,
BEVERAGES,,SALES,,,,,,,,,,,RATES,,,,
,,2 LTRS,,1 LTRS,,500 ML-600 ML,,250 ML,,,,,2 LTRS,1 LTRS,0.5-0.6L,0.3-.25L,
SL.,PRODUCT NAME,CASES*9,BTLS,CASES*12,BTLS,CASES*24,BTLS,CASES*30,BTLS,,,,RATE,RATE,RATE,RATE,
1,COOL DRINKS,0,0,0,0,4,48,7,-5,,,9860,80,45,40,20,
2,SODA*12/REDBULL*24,0,0,0,0,7,5,1,-5,,,4060,,,20,120,
3,MIN WATER,9,0,68,-1,25,71,0,0,,,25845,35,20,10,,
,,,,,,,,,,,,1109735,,,,,
